Depth (m),Facies Code,Lithology
2186.8,0,Sandy F-C Siltstone to Silty VF Sandstone
2186.9,1,Bituminous F-C Siltstone
2187.0,1,Bituminous F-C Siltstone
2187.1,1,Bituminous F-C Siltstone
2187.2,1,Bituminous F-C Siltstone
2187.3,1,Bituminous F-C Siltstone
2187.4,1,Bituminous F-C Siltstone
2187.5,1,Bituminous F-C Siltstone
2187.6,1,Bituminous F-C Siltstone
2187.7,1,Bituminous F-C Siltstone
2187.8,1,Bituminous F-C Siltstone
2187.9,1,Bituminous F-C Siltstone
2188.0,1,Bituminous F-C Siltstone
2188.1,1,Bituminous F-C Siltstone
2188.2,1,Bituminous F-C Siltstone
2188.3,1,Bituminous F-C Siltstone
2188.4,1,Bituminous F-C Siltstone
2188.5,1,Bituminous F-C Siltstone
2188.6,2,Bituminous F-M Siltstone
2188.7,2,Bituminous F-M Siltstone
2188.8,2,Bituminous F-M Siltstone
2188.9,4,Laminated Bedded Resedimented Bioclasts
2189.0,4,Laminated Bedded Resedimented Bioclasts
2189.1,4,Laminated Bedded Resedimented Bioclasts
2189.2,2,Bituminous F-M Siltstone
2189.3,2,Bituminous F-M Siltstone
2189.4,2,Bituminous F-M Siltstone
2189.5,2,Bituminous F-M Siltstone
2189.6,2,Bituminous F-M Siltstone
2189.7,2,Bituminous F-M Siltstone
2189.8,2,Bituminous F-M Siltstone
